date;open;low;high;close;vol
08.01.2018;1236;1232.030029;1253.079956;1246.869995;4279500
09.01.2018;1256.900024;1241.76001;1259.329956;1252.699951;3661300
10.01.2018;1245.150024;1237.22998;1254.329956;1254.329956;2686000
11.01.2018;1259.73999;1256.459961;1276.77002;1276.680054;3125000
12.01.2018;1273.390015;1273.390015;1305.76001;1305.199951;5443700
16.01.2018;1323;1292.300049;1339.939941;1304.859985;7220700
17.01.2018;1312.23999;1280.880005;1314;1295;5253800
18.01.2018;1293.949951;1284.02002;1304.599976;1293.319946;4026900
19.01.2018;1312;1292.98999;1313;1294.579956;4578500
22.01.2018;1297.170044;1296.660034;1327.449951;1327.310059;4140100
23.01.2018;1338.089966;1337.339966;1364.900024;1362.540039;5169300
24.01.2018;1374.819946;1338;1388.160034;1357.51001;6807500
25.01.2018;1368;1357.619995;1378.339966;1377.949951;4753000
26.01.2018;1392.01001;1380.910034;1402.530029;1402.050049;4857300
29.01.2018;1409.180054;1400.439941;1431.390015;1417.680054;5701900
30.01.2018;1403.170044;1392;1439.25;1437.819946;5871900
31.01.2018;1451.300049;1450.040039;1472.579956;1450.890015;6424700
01.02.2018;1445;1385.140015;1459.880005;1390;9113800
02.02.2018;1477.390015;1414;1498;1429.949951;11125700
05.02.2018;1402.619995;1320.719971;1458.97998;1390;11495000
06.02.2018;1361.459961;1351.790039;1443.98999;1442.839966;11066800
07.02.2018;1449;1415.150024;1460.98999;1416.780029;7162700
08.02.2018;1429.680054;1349.939941;1433.75;1350.5;8578600
09.02.2018;1373.48999;1265.930054;1383.5;1339.599976;14141500
12.02.2018;1364.670044;1344.01001;1393.810059;1386.22998;6738900
13.02.2018;1385.930054;1383.530029;1419.719971;1414.51001;5917900
14.02.2018;1406.25;1403.359985;1452.060059;1451.050049;5959200
15.02.2018;1466.890015;1436.839966;1468.939941;1461.76001;5652700
16.02.2018;1457.369995;1446.560059;1465.800049;1448.689941;4472600
20.02.2018;1446.48999;1446.48999;1488.77002;1468.349976;6499200
21.02.2018;1485;1478.920044;1503.48999;1482.920044;6304400
22.02.2018;1495.359985;1475.76001;1502.540039;1485.339966;4858100
23.02.2018;1495.339966;1486.5;1500;1500;4418100
26.02.2018;1509.199951;1507;1522.839966;1521.949951;4955000
27.02.2018;1524.5;1507.209961;1526.780029;1511.97998;4808800
28.02.2018;1519.51001;1512;1528.699951;1512.449951;4515000
01.03.2018;1513.599976;1465;1518.48999;1493.449951;6835200
02.03.2018;1469.099976;1455.01001;1501.050049;1500.25;6587600
05.03.2018;1494.23999;1481;1525.380005;1523.609985;5233900
06.03.2018;1533.199951;1528;1542.130005;1537.640015;4561700
07.03.2018;1526.52002;1522.51001;1545.900024;1545;4174100
08.03.2018;1550;1545.25;1554.880005;1551.859985;3862600
09.03.2018;1563.5;1559.079956;1578.939941;1578.890015;4534300
12.03.2018;1592.599976;1586.699951;1605.329956;1598.390015;5174200
13.03.2018;1615.959961;1578.01001;1617.540039;1588.180054;6531900
14.03.2018;1597;1590.890015;1606.439941;1591;4259400
15.03.2018;1595;1578.109985;1596.910034;1582.319946;4069700
16.03.2018;1583.449951;1567.5;1589.439941;1571.680054;5425000
19.03.2018;1554.530029;1525.349976;1561.660034;1544.930054;6580800
20.03.2018;1550.339966;1545.410034;1587;1586.51001;4581600
21.03.2018;1586.449951;1563.170044;1590;1581.859985;4750800
22.03.2018;1565.469971;1542.400024;1573.849976;1544.920044;6320600
23.03.2018;1539.01001;1495.359985;1549.02002;1495.560059;8006000
26.03.2018;1530;1499.25;1556.98999;1555.859985;5624700
27.03.2018;1572.400024;1482.319946;1575.969971;1497.050049;6999600
28.03.2018;1447;1386.170044;1455.900024;1431.420044;13705300
29.03.2018;1406;1365.199951;1455.469971;1447.339966;12581100
02.04.2018;1417.619995;1355;1421.359985;1371.98999;10463600
03.04.2018;1391.380005;1355.329956;1414;1392.050049;10231200
04.04.2018;1358.23999;1352.880005;1415.390015;1410.569946;6982300
05.04.2018;1441.98999;1427.069946;1459.560059;1451.75;6413500
06.04.2018;1429.969971;1400.26001;1452.5;1405.22998;5882300
09.04.2018;1425.030029;1402.569946;1438.47998;1406.079956;4208200
10.04.2018;1431.98999;1415.699951;1438.380005;1436.219971;4254100
11.04.2018;1439.439941;1424.890015;1448.780029;1427.050049;3582500
12.04.2018;1439.5;1435.060059;1452.119995;1448.5;3135000
13.04.2018;1449.140015;1424.52002;1459.780029;1430.790039;3685300
16.04.2018;1445;1427.47998;1447;1441.5;2808600
17.04.2018;1462.300049;1457.02002;1507.189941;1503.829956;5114400
18.04.2018;1514.650024;1504.109985;1533.800049;1527.839966;5227500
19.04.2018;1543.219971;1539.060059;1568.52002;1556.910034;6523700
20.04.2018;1561.199951;1516.089966;1561.199951;1527.48999;5541600
23.04.2018;1546.689941;1503.410034;1548;1517.859985;4465400
24.04.2018;1535.800049;1448.449951;1539.5;1460.089966;7494700
25.04.2018;1458;1415.02002;1469.98999;1460.170044;6587300
26.04.2018;1485.01001;1478.5;1529.420044;1517.959961;8801100
27.04.2018;1634.01001;1567.390015;1638.099976;1572.619995;13053200
30.04.2018;1582.5;1560.939941;1596;1566.130005;5464100
01.05.2018;1563.219971;1552.180054;1585;1582.26001;4572100
02.05.2018;1580.97998;1566.359985;1588.5;1569.680054;4360300
03.05.2018;1560.01001;1546.02002;1574.800049;1572.079956;4251900
04.05.2018;1562.449951;1562.189941;1584.900024;1580.949951;3443600
07.05.2018;1589.339966;1587.829956;1606.949951;1600.140015;3801900
08.05.2018;1595;1582.51001;1596.880005;1592.390015;3067900
09.05.2018;1600;1592;1608;1608;3637300
10.05.2018;1608.47998;1603.439941;1615.599976;1609.079956;2817500
11.05.2018;1610.98999;1597.890015;1611.099976;1602.910034;2263900
14.05.2018;1604;1600.050049;1611.180054;1601.540039;2509500
15.05.2018;1587.800049;1565.219971;1587.800049;1576.119995;5077500
16.05.2018;1577.5;1576.670044;1594.430054;1587.280029;2570600
17.05.2018;1580.560059;1573;1594.040039;1581.76001;2147600
18.05.2018;1581.329956;1572.099976;1583.589966;1574.369995;2642600
21.05.2018;1585;1575;1592.050049;1585.459961;2925200
22.05.2018;1589.890015;1575.25;1589.890015;1581.400024;2115600
23.05.2018;1571.050049;1566.339966;1601.859985;1601.859985;3361900
24.05.2018;1598.030029;1588.380005;1608.23999;1603.069946;3430000
25.05.2018;1603;1600.449951;1614.119995;1610.150024;2698400
29.05.2018;1600.709961;1600.150024;1621.790039;1612.869995;3846500
30.05.2018;1618.099976;1612.930054;1626;1624.890015;2907400
31.05.2018;1623;1621.349976;1635;1629.619995;3166300
01.06.2018;1637.030029;1635.089966;1646.72998;1641.540039;3313400
04.06.2018;1648.900024;1645.48999;1665.680054;1665.27002;3187700
05.06.2018;1672.98999;1670.060059;1699;1696.349976;4782200
06.06.2018;1704.51001;1686.469971;1714.5;1695.75;5473200
07.06.2018;1698.560059;1676.109985;1699.900024;1689.300049;3765700
08.06.2018;1681.119995;1673.01001;1689.439941;1683.98999;2955100
11.06.2018;1681.51001;1680.589966;1694.23999;1689.119995;2335500
12.06.2018;1693;1691.52002;1699.51001;1698.75;2259200
13.06.2018;1702.810059;1700.119995;1713.75;1704.859985;3327500
14.06.2018;1713.47998;1708.869995;1724.800049;1723.859985;3174400
15.06.2018;1714;1708.52002;1720.869995;1715.969971;4777600
18.06.2018;1706.26001;1702.560059;1726.73999;1723.790039;3107700
19.06.2018;1709.040039;1700.390015;1736.109985;1734.780029;4290100
20.06.2018;1742.5;1741.359985;1762.930054;1750.079956;4332600
21.06.2018;1760;1717.560059;1763.099976;1730.219971;4941100
22.06.2018;1742.619995;1711.900024;1743;1715.670044;4075100
25.06.2018;1702.51001;1646.310059;1705;1663.150024;7511200
26.06.2018;1672.369995;1663.339966;1701.569946;1691.089966;4386600
27.06.2018;1708.109985;1660;1711.949951;1660.51001;4872200
28.06.2018;1672.540039;1661.170044;1705.5;1701.449951;4529700
29.06.2018;1717;1694.319946;1723.410034;1699.800049;4543500
02.07.2018;1682.699951;1678.060059;1713.890015;1713.780029;3185700
03.07.2018;1723.959961;1692.47998;1725;1693.959961;2177300
05.07.2018;1705.380005;1682.150024;1710.689941;1699.72998;2983100
06.07.2018;1696;1691.670044;1715.27002;1710.630005;2650300
09.07.2018;1724.050049;1716.22998;1739.560059;1739.02002;3012000
10.07.2018;1738.530029;1731;1750;1743.069946;3002900
11.07.2018;1737.98999;1734;1756.959961;1755;3209800
12.07.2018;1764.51001;1762.180054;1798;1796.619995;4532700
13.07.2018;1803.930054;1795.22998;1815.300049;1813.030029;4383200
16.07.2018;1821.949951;1814.449951;1841.949951;1822.48999;5466200
17.07.2018;1811.560059;1797.380005;1851.689941;1843.930054;5682900
18.07.2018;1848;1831.27002;1858.880005;1842.920044;4861900
19.07.2018;1829.459961;1811.27002;1841;1812.969971;4676900
20.07.2018;1825.01001;1810.060059;1834.839966;1813.699951;3884400
23.07.2018;1812.209961;1769.98999;1819;1802;3888500
24.07.2018;1829.01001;1809.380005;1840;1829.23999;4278700
25.07.2018;1829.300049;1822.640015;1863.839966;1863.609985;3738200
26.07.2018;1839;1804.5;1844.680054;1808;9924400
27.07.2018;1876.050049;1806.530029;1880.050049;1817.27002;9681000
30.07.2018;1827.329956;1766.02002;1829.5;1779.219971;6562300
31.07.2018;1786.48999;1739.319946;1801.829956;1777.439941;5738700
01.08.2018;1784;1776.02002;1798.439941;1797.170044;4153100
02.08.2018;1788.77002;1786;1836.560059;1834.329956;4354700
03.08.2018;1837.73999;1821.5;1841;1823.290039;3460500
06.08.2018;1825.810059;1818.920044;1847.77002;1847.75;3391800
